timestamp,hostname,src_ip,dest_ip,dest_port,protocol,bytes_out,bytes_in,action
2026-09-14T00:00:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,1129591,49003,allow
2026-09-14T00:49:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,2718958,47536,allow
2026-09-14T01:07:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,1303356,33030,allow
2026-09-14T01:34:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,2597869,45779,allow
2026-09-14T02:00:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,2283696,42593,allow
2026-09-14T02:11:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,1288882,21050,allow
2026-09-14T02:14:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,2150794,87263,allow
2026-09-14T02:49:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,1786515,41876,allow
2026-09-14T03:09:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,802345,41275,allow
2026-09-14T03:19:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,3550113,58900,allow
2026-09-14T03:20:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,3143615,37892,allow
2026-09-14T03:22:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,2013717,55326,allow
2026-09-14T03:24:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,3779597,84376,allow
2026-09-14T03:30:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,3909684,77501,allow
2026-09-14T03:31:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,2359276,30969,allow
2026-09-14T03:32:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,2819181,79064,allow
2026-09-14T03:33:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,3009257,85181,allow
2026-09-14T03:44:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,2940799,73327,allow
2026-09-14T03:56:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,2948020,82632,allow
2026-09-14T04:21:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,612912,32257,allow
2026-09-14T04:56:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,1766974,40325,allow
2026-09-14T05:04:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,1694041,34508,allow
2026-09-14T05:12:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,934389,40806,allow
2026-09-14T05:21:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,640374,29383,allow
2026-09-14T06:06:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,2343068,57059,allow
2026-09-14T06:21:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,2383301,53957,allow
2026-09-14T06:38:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,891543,77287,allow
2026-09-14T06:43:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,888918,29334,allow
2026-09-14T07:15:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,1783345,75640,allow
2026-09-14T07:23:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,2239535,69124,allow
2026-09-14T07:51:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,1774544,56524,allow
2026-09-14T07:58:00Z,app-node9,10.0.12.9,104.16.132.229,443,tcp,2300695,29680,allow
2026-09-14T08:20:00Z,app-node9,10.0.12.9,151.101.1.69,443,tcp,2016314,59671,allow
2026-09-14T08:26:00Z,app-node9,10.0.12.9,52.95.110.1,443,tcp,1580203,42121,allow
2026-09-14T08:29:00Z,app-node9,10.0.12.9,13.107.42.14,443,tcp,520112,69007,allow
2026-09-14T08:38:00Z,app-node9,10.0.12.9,140.82.112.3,443,tcp,2277211,55222,allow
