source_file,line_number,month,day,time,host,service,pid,event_type,status,username,source_ip,source_port,protocol,logname,uid,euid,tty,ruser,rhost,raw_message
01_brute_force_login.log,1,Jul,14,10:00:01,server01,sshd,3001,login_failure,failed,root,203.0.113.40,50001,ssh2,,,,,,,Jul 14 10:00:01 server01 sshd[3001]: Failed password for root from 203.0.113.40 port 50001 ssh2
01_brute_force_login.log,2,Jul,14,10:00:08,server01,sshd,3002,login_failure,failed,root,203.0.113.40,50002,ssh2,,,,,,,Jul 14 10:00:08 server01 sshd[3002]: Failed password for root from 203.0.113.40 port 50002 ssh2
01_brute_force_login.log,3,Jul,14,10:00:15,server01,sshd,3003,login_failure,failed,root,203.0.113.40,50003,ssh2,,,,,,,Jul 14 10:00:15 server01 sshd[3003]: Failed password for root from 203.0.113.40 port 50003 ssh2
01_brute_force_login.log,4,Jul,14,10:00:22,server01,sshd,3004,login_failure,failed,root,203.0.113.40,50004,ssh2,,,,,,,Jul 14 10:00:22 server01 sshd[3004]: Failed password for root from 203.0.113.40 port 50004 ssh2
01_brute_force_login.log,5,Jul,14,10:00:29,server01,sshd,3005,login_failure,failed,root,203.0.113.40,50005,ssh2,,,,,,,Jul 14 10:00:29 server01 sshd[3005]: Failed password for root from 203.0.113.40 port 50005 ssh2
02_username_enumeration.log,1,Jul,14,10:10:01,server02,sshd,3101,invalid_user,failed,oracle,198.51.100.77,51001,ssh2,,,,,,,Jul 14 10:10:01 server02 sshd[3101]: Failed password for invalid user oracle from 198.51.100.77 port 51001 ssh2
02_username_enumeration.log,2,Jul,14,10:10:11,server02,sshd,3102,invalid_user,failed,postgres,198.51.100.77,51002,ssh2,,,,,,,Jul 14 10:10:11 server02 sshd[3102]: Failed password for invalid user postgres from 198.51.100.77 port 51002 ssh2
02_username_enumeration.log,3,Jul,14,10:10:21,server02,sshd,3103,invalid_user,failed,backup,198.51.100.77,51003,ssh2,,,,,,,Jul 14 10:10:21 server02 sshd[3103]: Failed password for invalid user backup from 198.51.100.77 port 51003 ssh2
03_sudo_failure.log,1,Jul,14,10:20:01,server03,sudo,,sudo_failure,failed,jdoe,,,,jdoe,1001,0,/dev/pts/0,jdoe,,Jul 14 10:20:01 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=jdoe uid=1001 euid=0 tty=/dev/pts/0 ruser=jdoe rhost= user=jdoe
03_sudo_failure.log,2,Jul,14,10:20:31,server03,sudo,,sudo_failure,failed,jdoe,,,,jdoe,1001,0,/dev/pts/0,jdoe,,Jul 14 10:20:31 server03 sudo: pam_unix(sudo:auth): authentication failure; logname=jdoe uid=1001 euid=0 tty=/dev/pts/0 ruser=jdoe rhost= user=jdoe
