# off_hours_login.log -- exercises OffHoursLoginRule (LOW, account entity)
# Static business-hours window is 06:00-20:00 UTC. Expected: 2 alerts (02:15 and 23:40 UTC logins).
Sep 14 02:15:00 vpn01 sshd[26937]: Accepted password for gwolski from 91.200.12.5 port 44012 ssh2
Sep 14 23:40:00 vpn01 sshd[14667]: Accepted password for hchavez from 178.62.44.9 port 44088 ssh2
Sep 14 09:00:00 vpn01 sshd[31981]: Accepted publickey for ipatel from 10.40.9.10 port 55000 ssh2
Sep 14 09:20:00 vpn01 sshd[53748]: Accepted publickey for jsvendsen from 10.40.9.11 port 55001 ssh2
Sep 14 09:40:00 vpn01 sshd[35049]: Accepted publickey for kmurakami from 10.40.9.12 port 55002 ssh2
Sep 14 10:00:00 vpn01 sshd[57726]: Accepted publickey for lbergstrom from 10.40.9.13 port 55003 ssh2
Sep 14 10:20:00 vpn01 sshd[42746]: Accepted publickey for ipatel from 10.40.9.14 port 55004 ssh2
Sep 14 10:40:00 vpn01 sshd[22316]: Accepted publickey for jsvendsen from 10.40.9.15 port 55005 ssh2
Sep 14 11:00:00 vpn01 sshd[11708]: Accepted publickey for kmurakami from 10.40.9.16 port 55006 ssh2
Sep 14 11:20:00 vpn01 sshd[20977]: Accepted publickey for lbergstrom from 10.40.9.17 port 55007 ssh2
Sep 14 11:40:00 vpn01 sshd[23623]: Accepted publickey for ipatel from 10.40.9.18 port 55008 ssh2
Sep 14 12:00:00 vpn01 sshd[3180]: Accepted publickey for jsvendsen from 10.40.9.19 port 55009 ssh2
Sep 14 12:20:00 vpn01 sshd[45298]: Accepted publickey for kmurakami from 10.40.9.20 port 55010 ssh2
Sep 14 12:40:00 vpn01 sshd[50472]: Accepted publickey for lbergstrom from 10.40.9.21 port 55011 ssh2
Sep 14 13:00:00 vpn01 sshd[29737]: Accepted publickey for ipatel from 10.40.9.22 port 55012 ssh2
Sep 14 13:20:00 vpn01 sshd[52348]: Accepted publickey for jsvendsen from 10.40.9.23 port 55013 ssh2
Sep 14 13:40:00 vpn01 sshd[59592]: Accepted publickey for kmurakami from 10.40.9.24 port 55014 ssh2
Sep 14 14:00:00 vpn01 sshd[43318]: Accepted publickey for lbergstrom from 10.40.9.25 port 55015 ssh2
Sep 14 14:20:00 vpn01 sshd[42425]: Accepted publickey for ipatel from 10.40.9.26 port 55016 ssh2
Sep 14 14:40:00 vpn01 sshd[17727]: Accepted publickey for jsvendsen from 10.40.9.27 port 55017 ssh2
Sep 14 15:00:00 vpn01 sshd[4197]: Accepted publickey for kmurakami from 10.40.9.28 port 55018 ssh2
Sep 14 15:20:00 vpn01 sshd[23909]: Accepted publickey for lbergstrom from 10.40.9.29 port 55019 ssh2
Sep 14 15:40:00 vpn01 sshd[39747]: Accepted publickey for ipatel from 10.40.9.30 port 55020 ssh2
Sep 14 16:00:00 vpn01 sshd[45972]: Accepted publickey for jsvendsen from 10.40.9.31 port 55021 ssh2
Sep 14 16:20:00 vpn01 sshd[30394]: Accepted publickey for kmurakami from 10.40.9.32 port 55022 ssh2
Sep 14 16:40:00 vpn01 sshd[3479]: Accepted publickey for lbergstrom from 10.40.9.33 port 55023 ssh2
Sep 14 17:00:00 vpn01 sshd[50432]: Accepted publickey for ipatel from 10.40.9.34 port 55024 ssh2
Sep 14 17:20:00 vpn01 sshd[24124]: Accepted publickey for jsvendsen from 10.40.9.35 port 55025 ssh2
Sep 14 17:40:00 vpn01 sshd[56261]: Accepted publickey for kmurakami from 10.40.9.36 port 55026 ssh2
Sep 14 18:00:00 vpn01 sshd[38072]: Accepted publickey for lbergstrom from 10.40.9.37 port 55027 ssh2
Sep 14 18:20:00 vpn01 sshd[32490]: Accepted publickey for ipatel from 10.40.9.38 port 55028 ssh2
Sep 14 18:40:00 vpn01 sshd[56075]: Accepted publickey for jsvendsen from 10.40.9.39 port 55029 ssh2
