# service_account_interactive.log -- exercises ServiceAccountInteractiveRule (HIGH, account entity)
# NOTE: this rule fires ONLY for usernames in its configured `allowlist` (no default roster).
# Configure the rule with: allowlist = ["svc-etl", "svc-backup2"] BEFORE uploading.
# Expected once configured: 2 alerts (svc-etl and svc-backup2 interactive logins).
Sep 14 05:00:00 batch-host sshd[5829]: Accepted password for svc-etl from 10.40.12.9 port 33220 ssh2
Sep 14 05:20:00 batch-host sshd[29157]: Accepted publickey for svc-backup2 from 10.40.12.15 port 33280 ssh2
Sep 14 09:00:00 batch-host sshd[41233]: Accepted publickey for vharrington from 10.40.12.20 port 56000 ssh2
Sep 14 09:05:00 batch-host sshd[32886]: Accepted publickey for wnakagawa from 10.40.12.21 port 56001 ssh2
Sep 14 09:10:00 batch-host sshd[7790]: Accepted publickey for xolawale from 10.40.12.22 port 56002 ssh2
Sep 14 09:15:00 batch-host sshd[43737]: Accepted publickey for vharrington from 10.40.12.23 port 56003 ssh2
Sep 14 09:20:00 batch-host sshd[53331]: Accepted publickey for wnakagawa from 10.40.12.24 port 56004 ssh2
Sep 14 09:25:00 batch-host sshd[50599]: Accepted publickey for xolawale from 10.40.12.25 port 56005 ssh2
Sep 14 09:30:00 batch-host sshd[20983]: Accepted publickey for vharrington from 10.40.12.26 port 56006 ssh2
Sep 14 09:35:00 batch-host sshd[25745]: Accepted publickey for wnakagawa from 10.40.12.27 port 56007 ssh2
Sep 14 09:40:00 batch-host sshd[5221]: Accepted publickey for xolawale from 10.40.12.28 port 56008 ssh2
Sep 14 09:45:00 batch-host sshd[47781]: Accepted publickey for vharrington from 10.40.12.29 port 56009 ssh2
Sep 14 09:50:00 batch-host sshd[17850]: Accepted publickey for wnakagawa from 10.40.12.30 port 56010 ssh2
Sep 14 09:55:00 batch-host sshd[54387]: Accepted publickey for xolawale from 10.40.12.31 port 56011 ssh2
Sep 14 10:00:00 batch-host sshd[35989]: Accepted publickey for vharrington from 10.40.12.32 port 56012 ssh2
Sep 14 10:05:00 batch-host sshd[13370]: Accepted publickey for wnakagawa from 10.40.12.33 port 56013 ssh2
Sep 14 10:10:00 batch-host sshd[56396]: Accepted publickey for xolawale from 10.40.12.34 port 56014 ssh2
Sep 14 10:15:00 batch-host sshd[2850]: Accepted publickey for vharrington from 10.40.12.35 port 56015 ssh2
Sep 14 10:20:00 batch-host sshd[26118]: Accepted publickey for wnakagawa from 10.40.12.36 port 56016 ssh2
Sep 14 10:25:00 batch-host sshd[23781]: Accepted publickey for xolawale from 10.40.12.37 port 56017 ssh2
Sep 14 10:30:00 batch-host sshd[36242]: Accepted publickey for vharrington from 10.40.12.38 port 56018 ssh2
Sep 14 10:35:00 batch-host sshd[27896]: Accepted publickey for wnakagawa from 10.40.12.39 port 56019 ssh2
Sep 14 10:40:00 batch-host sshd[1733]: Accepted publickey for xolawale from 10.40.12.40 port 56020 ssh2
Sep 14 10:45:00 batch-host sshd[6652]: Accepted publickey for vharrington from 10.40.12.41 port 56021 ssh2
Sep 14 10:50:00 batch-host sshd[21087]: Accepted publickey for wnakagawa from 10.40.12.42 port 56022 ssh2
Sep 14 10:55:00 batch-host sshd[8972]: Accepted publickey for xolawale from 10.40.12.43 port 56023 ssh2
Sep 14 11:00:00 batch-host sshd[14402]: Accepted publickey for vharrington from 10.40.12.44 port 56024 ssh2
Sep 14 11:05:00 batch-host sshd[10167]: Accepted publickey for wnakagawa from 10.40.12.45 port 56025 ssh2
Sep 14 11:10:00 batch-host sshd[27577]: Accepted publickey for xolawale from 10.40.12.46 port 56026 ssh2
Sep 14 11:15:00 batch-host sshd[4534]: Accepted publickey for vharrington from 10.40.12.47 port 56027 ssh2
