timestamp,hostname,src_ip,dest_ip,dest_port,protocol,bytes_out,bytes_in,domain,action
2026-09-14T04:00:00Z,ws-401,10.0.11.20,198.51.100.222,443,tcp,2104,5964,,allow
2026-09-14T04:03:00Z,ws-401,10.0.11.20,198.51.100.222,443,tcp,4144,6766,,allow
2026-09-14T04:06:00Z,ws-401,10.0.11.20,198.51.100.222,443,tcp,2312,6085,,allow
2026-09-14T04:09:00Z,ws-401,10.0.11.20,198.51.100.222,443,tcp,2063,4867,,allow
2026-09-14T04:15:00Z,ws-402,10.0.11.25,203.0.113.199,443,tcp,2694,2888,malicious-c2-example.net,allow
2026-09-14T04:20:00Z,ws-402,10.0.11.25,203.0.113.199,443,tcp,1073,3594,malicious-c2-example.net,allow
2026-09-14T09:00:00Z,ws-403,10.0.11.30,140.82.112.3,443,tcp,45910,105361,,allow
2026-09-14T09:05:00Z,ws-404,10.0.11.31,104.16.132.229,443,tcp,28287,48812,,allow
2026-09-14T09:10:00Z,ws-405,10.0.11.32,151.101.1.69,443,tcp,41481,85999,,allow
2026-09-14T09:15:00Z,ws-406,10.0.11.33,13.107.42.14,443,tcp,42980,12313,,allow
2026-09-14T09:20:00Z,ws-407,10.0.11.34,140.82.112.3,443,tcp,57458,74532,,allow
2026-09-14T09:25:00Z,ws-408,10.0.11.35,104.16.132.229,443,tcp,50052,57911,,allow
2026-09-14T09:30:00Z,ws-403,10.0.11.36,151.101.1.69,443,tcp,30039,68571,,allow
2026-09-14T09:35:00Z,ws-404,10.0.11.37,13.107.42.14,443,tcp,48539,85361,,allow
2026-09-14T09:40:00Z,ws-405,10.0.11.38,140.82.112.3,443,tcp,59186,5089,,allow
2026-09-14T09:45:00Z,ws-406,10.0.11.39,104.16.132.229,443,tcp,39301,7420,,allow
2026-09-14T09:50:00Z,ws-407,10.0.11.40,151.101.1.69,443,tcp,27514,80457,,allow
2026-09-14T09:55:00Z,ws-408,10.0.11.41,13.107.42.14,443,tcp,10485,48469,,allow
2026-09-14T10:00:00Z,ws-403,10.0.11.42,140.82.112.3,443,tcp,22333,86308,,allow
2026-09-14T10:05:00Z,ws-404,10.0.11.43,104.16.132.229,443,tcp,47878,94151,,allow
2026-09-14T10:10:00Z,ws-405,10.0.11.44,151.101.1.69,443,tcp,59584,43278,,allow
2026-09-14T10:15:00Z,ws-406,10.0.11.45,13.107.42.14,443,tcp,40816,62744,,allow
2026-09-14T10:20:00Z,ws-407,10.0.11.46,140.82.112.3,443,tcp,37331,8589,,allow
2026-09-14T10:25:00Z,ws-408,10.0.11.47,104.16.132.229,443,tcp,2333,19580,,allow
2026-09-14T10:30:00Z,ws-403,10.0.11.48,151.101.1.69,443,tcp,6452,50564,,allow
2026-09-14T10:35:00Z,ws-404,10.0.11.49,13.107.42.14,443,tcp,47067,83929,,allow
2026-09-14T10:40:00Z,ws-405,10.0.11.50,140.82.112.3,443,tcp,45136,9910,,allow
2026-09-14T10:45:00Z,ws-406,10.0.11.51,104.16.132.229,443,tcp,17748,43961,,allow
2026-09-14T10:50:00Z,ws-407,10.0.11.52,151.101.1.69,443,tcp,2947,110682,,allow
2026-09-14T10:55:00Z,ws-408,10.0.11.53,13.107.42.14,443,tcp,50174,61073,,allow
2026-09-14T11:00:00Z,ws-403,10.0.11.54,140.82.112.3,443,tcp,50261,102017,,allow
2026-09-14T11:05:00Z,ws-404,10.0.11.55,104.16.132.229,443,tcp,44636,89961,,allow
2026-09-14T11:10:00Z,ws-405,10.0.11.56,151.101.1.69,443,tcp,59532,8049,,allow
2026-09-14T11:15:00Z,ws-406,10.0.11.57,13.107.42.14,443,tcp,46656,9697,,allow
